starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:50:01 2022	1653173401	1	27	28	26
Sun May 22 00:49:39 2022	1653173379	1	27	28	26
Sun May 22 00:49:47 2022	1653173387	1	27	28	26
Sun May 22 00:50:04 2022	1653173404	1	27	28	26
Sun May 22 00:50:03 2022	1653173403	1	27	28	25
Sun May 22 00:49:59 2022	1653173399	1	27	28	26
Sun May 22 00:49:13 2022	1653173353	1	27	28	26
Sun May 22 00:49:37 2022	1653173377	1	27	28	26
Sun May 22 00:49:13 2022	1653173353	1	27	28	25
Sun May 22 00:50:00 2022	1653173400	1	27	28	26
Sun May 22 00:49:42 2022	1653173382	1	27	28	26
Sun May 22 00:49:38 2022	1653173378	1	27	28	26
Sun May 22 00:49:54 2022	1653173394	1	27	28	26
Sun May 22 00:50:01 2022	1653173401	1	27	28	26
Sun May 22 00:50:02 2022	1653173402	0	27	28	27
Sun May 22 00:49:21 2022	1653173361	1	27	28	26
Sun May 22 00:49:59 2022	1653173399	1	27	28	26
Sun May 22 00:49:30 2022	1653173370	1	27	28	26
Sun May 22 00:49:51 2022	1653173391	1	27	28	26
Sun May 22 00:50:04 2022	1653173404	1	27	28	26
Sun May 22 00:49:32 2022	1653173372	1	27	28	25
Sun May 22 00:49:39 2022	1653173379	1	27	28	26
Sun May 22 00:49:50 2022	1653173390	1	27	28	26
Sun May 22 00:49:49 2022	1653173389	1	27	28	26
Sun May 22 00:49:49 2022	1653173389	1	27	28	26
Sun May 22 00:49:31 2022	1653173371	1	27	28	26
Sun May 22 00:49:55 2022	1653173395	0	27	28	26
Sun May 22 00:49:57 2022	1653173397	1	27	28	26
Sun May 22 00:50:00 2022	1653173400	1	27	28	27
Sun May 22 00:49:19 2022	1653173359	1	27	28	26
Sun May 22 00:49:52 2022	1653173392	0	27	28	27
Sun May 22 00:49:13 2022	1653173353	1	27	28	26
Sun May 22 00:49:31 2022	1653173371	1	27	28	26
Sun May 22 00:49:46 2022	1653173386	1	27	28	26
Sun May 22 00:49:19 2022	1653173359	1	27	28	27
Sun May 22 00:49:36 2022	1653173376	1	27	28	26
Sun May 22 00:49:20 2022	1653173360	1	27	28	26
Sun May 22 00:49:41 2022	1653173381	1	27	28	26
Sun May 22 00:49:58 2022	1653173398	1	27	28	25
Sun May 22 00:49:45 2022	1653173385	1	26	28	26
Sun May 22 00:49:20 2022	1653173360	1	27	28	26
Sun May 22 00:49:58 2022	1653173398	1	27	28	26
Sun May 22 00:49:59 2022	1653173399	1	27	28	27
Sun May 22 00:50:04 2022	1653173404	1	27	28	26
Sun May 22 00:49:29 2022	1653173369	2	25	28	24
Sun May 22 00:49:25 2022	1653173365	1	27	28	26
Sun May 22 00:49:17 2022	1653173357	1	27	28	25
Sun May 22 00:49:45 2022	1653173385	1	27	28	25
Sun May 22 00:49:34 2022	1653173374	1	27	28	26
Sun May 22 00:49:53 2022	1653173393	1	27	28	26
Sun May 22 00:49:30 2022	1653173370	1	27	28	25
Sun May 22 00:49:59 2022	1653173399	1	27	28	26
Sun May 22 00:49:33 2022	1653173373	1	27	28	26
Sun May 22 00:49:27 2022	1653173367	1	27	28	27
Sun May 22 00:49:46 2022	1653173386	1	27	28	26
Sun May 22 00:49:58 2022	1653173398	1	27	28	26
Sun May 22 00:50:06 2022	1653173406	1	27	28	26
Sun May 22 00:50:04 2022	1653173404	1	28	28	26
Sun May 22 00:49:22 2022	1653173362	1	27	28	25
Sun May 22 00:49:26 2022	1653173366	0	28	28	27
Sun May 22 00:49:14 2022	1653173354	1	27	28	26
Sun May 22 00:50:02 2022	1653173402	1	27	28	27
Sun May 22 00:50:02 2022	1653173402	1	27	28	26
Sun May 22 00:50:01 2022	1653173401	1	27	28	26
Sun May 22 00:49:13 2022	1653173353	1	28	28	26
Sun May 22 00:49:50 2022	1653173390	1	27	28	27
Sun May 22 00:49:12 2022	1653173352	1	27	28	26
Sun May 22 00:49:30 2022	1653173370	1	27	28	27
Sun May 22 00:49:10 2022	1653173350	1	27	28	21
Sun May 22 00:49:55 2022	1653173395	1	27	28	26
Sun May 22 00:49:28 2022	1653173368	1	27	28	26
Sun May 22 00:49:14 2022	1653173354	1	27	28	26
Sun May 22 00:49:51 2022	1653173391	1	28	28	27
Sun May 22 00:49:33 2022	1653173373	1	28	28	26
Sun May 22 00:49:59 2022	1653173399	1	28	28	27
Sun May 22 00:49:47 2022	1653173387	1	27	28	26
Sun May 22 00:50:02 2022	1653173402	1	28	28	27
Sun May 22 00:49:52 2022	1653173392	1	28	28	27
Sun May 22 00:49:28 2022	1653173368	1	27	28	27
Sun May 22 00:49:28 2022	1653173368	1	28	28	27
Sun May 22 00:49:41 2022	1653173381	1	27	28	26
Sun May 22 00:49:52 2022	1653173392	1	27	28	27
Sun May 22 00:49:44 2022	1653173384	1	27	28	27
Sun May 22 00:49:50 2022	1653173390	1	28	28	27
Sun May 22 00:49:31 2022	1653173371	1	27	28	26
Sun May 22 00:49:54 2022	1653173394	1	28	28	27
Sun May 22 00:49:36 2022	1653173376	1	27	28	27
Sun May 22 00:49:20 2022	1653173360	1	28	28	27
Sun May 22 00:50:04 2022	1653173404	1	28	28	27
Sun May 22 00:49:58 2022	1653173398	0	28	28	27
Sun May 22 00:49:48 2022	1653173388	1	28	28	26
Sun May 22 00:49:26 2022	1653173366	1	28	28	26
Sun May 22 00:49:47 2022	1653173387	1	28	28	27
Sun May 22 00:50:06 2022	1653173406	1	28	28	27
Sun May 22 00:49:13 2022	1653173353	1	28	28	27
Sun May 22 00:50:03 2022	1653173403	1	27	28	27
Sun May 22 00:49:19 2022	1653173359	1	28	28	27
